host_id,host_about,user_id
9483312,Hope you have a great experience in our house in Chicago!,9483312
1019125,"Conceptual artist loves to explore... 

I've traded homes with artist friends from all over the USA and Europe and have shared spaces with dear friends and acquaintances long before airbnb was created (airbnb now expands those possibilities!). I think this is by far the most interesting and rewarding way to travel and experience some ""there"" there. I look forward to hosting and staying. 

Looking forward to meeting you...

-jb
",1019125
1019125,"Conceptual artist loves to explore... 

I've traded homes with artist friends from all over the USA and Europe and have shared spaces with dear friends and acquaintances long before airbnb was created (airbnb now expands those possibilities!). I think this is by far the most interesting and rewarding way to travel and experience some ""there"" there. I look forward to hosting and staying. 

Looking forward to meeting you...

-jb
",1019125
1173654,"I've lived in Logan Square since 1999, Wicker Park and Bucktown since 1988.  Some people call us 'old timers', some just say old...or maybe pioneers?  
My point is I know this area well and I love my city.  I've seen countless live bands here in Chicago, all kinds of genres. I've worked in the music scene and I know lots about what to do in Chicago and don't mind pointing you in the right direction for anything from shopping to entertainment, thrift stores, food, culture, acupuncture, spas, etc. I may even give you a ride there if I am not doing anything else that day.  

I thrive on art, music, architecture and designing my little house for the enjoyment of myself and my guests. I am pretty much always working on some project here (in my head or literally). I would say I am not a mainstream person and thus pretty open minded.  I am looking forward to meeting some fellow travelers and giving them a soft place to land for a few days!  I've really enjoyed meeting some guests already and look forward to more!  

I also enjoy traveling (often alone) and consider myself an outstanding and thoughtful guest, and generally pretty low maintenance. Having hosted myself, I try to always leave my space clean and fully respect all the house rules.",1173654
1224828,"I'm originally from Thailand and have been living in Chicago area for over 30 years, and know the city inside out.  I love Chicago for its diverse ethnicity, theaters, museums, entertainment venues and restaurants.  I love scuba diving and go back to Thailand every year.  I used to work for Accenture but retired now.  My other hobbies are golf and pickleball.",1224828
9601147,"Chicago musician, vocalist, wrestling coach and educator. Tour guide in the summer upbeat grandfather. 
Love music, dance, comedy, film, sports, dining out, house parties with games. Work with youth and thos over 40 yrs. 
Travel is business and pleasure. Have aspiration of retiring in film and fashion industry.",9601147
1311953,"A little about me...

People tell me I am easy going, social and love people.  My passion is outdoor activities.  I'm married (to a beautiful wife and I have 4 ""almost"" grown-up kids.

We enjoy family, traveling, downhill skiing, outdoor recreation, and the exciting city of Chicago.",1311953
1358243,,1358243
9471604,"As an avid traveler, I've used this site many times, and I also know what travelers appreciate while away from home. My goal is to provide you with the most honest, comfortable accommodations—I want you to feel the way I do when I'm at home. 

I love experiencing all kinds of culture. To date, I have been to all 50 states and 42 countries on four continents.",9471604
1387948,"Welcome to Chicago.  This area is known as Fulton River District, and is truly in the middle of it all, distanced enough to be quiet as well.  I am certain you will enjoy your stay.  Reach out with any questions.",1387948
9959757,"I am a resourceful host, born and raised in the city of Chicago. My passions include Chicago House Music, Street Art, and Tacos. Any destination with warm weather and clear water is where I want to be.",9959757
1376077,"Love Chicago, lived on the north side for most of my life, St. Louis for college, I am very social and active. I participate in community events, sitting on a Master Plan committee and President of our blockclub. Learning guitar and spanish, love Zumba and Dance Chicago, have great friends and family. Love to travel, soon to use airbnb for European trip. Live by the lake/beach, once its warm, I bike the lake.",1376077
4995578,I like to travel. A lot.  But I like doing repeat visits to cities.   ,4995578
1505878,"We are two friends who bought this building and lived in it for 8 years.    We completely renovated everything for our own comfort.   You will find many great amenities that you won't normally find in the average rental.

We are lifelong Chicago residents and we are glad to help you enjoy your stay in our city.   We have an extensive guest guide that we will send you that will give you our best ideas for dining, shopping, and transportation around our city.     If you need some advice or have a question, we are here to help.",1505878
1505878,"We are two friends who bought this building and lived in it for 8 years.    We completely renovated everything for our own comfort.   You will find many great amenities that you won't normally find in the average rental.

We are lifelong Chicago residents and we are glad to help you enjoy your stay in our city.   We have an extensive guest guide that we will send you that will give you our best ideas for dining, shopping, and transportation around our city.     If you need some advice or have a question, we are here to help.",1505878
8292749,"I am from Chicago, a yogi and have an good eye for design and architecture.  I love to travel and enjoy meeting people from all of the world.  ",8292749
