listing_id,room_type,description,price,from_date,to_date,landlord_id,longitude,latitude
3485081,Private room,Guest suite in Chicago · ★4.49 · Studio · 1 bed · 1 bath,0,2023-12-18,2024-12-16,11848299,-87.68075,41.90788
3517984,Private room,Rental unit in Chicago · ★4.96 · 1 bedroom · 1 bed · 1 private bath,75,2023-12-18,2024-12-16,11294056,-87.59186,41.79963
3570616,Entire home/apt,Rental unit in Chicago · ★4.74 · 1 bedroom · 2 beds · 1 bath,75,2023-12-18,2024-12-16,3920450,-87.7196,41.93047
4150121,Entire home/apt,Rental unit in Chicago · ★4.73 · 1 bedroom · 1 bed · 1 bath,115,2023-12-18,2024-12-16,2441500,-87.64611,41.94987
3590692,Private room,Rental unit in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,49,2023-12-18,2024-12-16,12955486,-87.66166,41.99103
4156913,Entire home/apt,Condo in Chicago · ★4.98 · 2 bedrooms · 2 beds · 2 baths,157,2023-12-18,2024-12-16,6874747,-87.65772,41.96705
4214683,Private room,Rental unit in Chicago · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,60,2023-12-18,2024-12-16,21872907,-87.71005,41.95107
3638744,Entire home/apt,Condo in Chicago · ★4.78 · 1 bedroom · 1 bed · 1 bath,69,2023-12-18,2024-12-16,837429,-87.72016,41.95965
3639045,Entire home/apt,Guest suite in Chicago · ★4.40 · 1 bedroom · 2 beds · 1 bath,65,2023-12-18,2024-12-16,8607123,-87.67545,41.99595
4227003,Entire home/apt,Condo in Chicago · ★4.83 · 1 bedroom · 2 beds · 1 bath,139,2023-12-18,2024-12-16,21937279,-87.62843,41.87346
4243309,Private room,Condo in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,83,2023-12-18,2024-12-16,21924626,-87.64941,41.94124
3666681,Entire home/apt,Rental unit in Chicago · ★4.92 · Studio · 1 bed · 1 bath,170,2023-12-18,2024-12-16,3965428,-87.63399,41.88853
3696178,Private room,Condo in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,68,2023-12-18,2024-12-16,18742622,-87.67226,42.0222
3742513,Shared room,Rental unit in Chicago · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,28,2023-12-18,2024-12-16,2907254,-87.68771,42.0168
3761023,Entire home/apt,Home in Chicago · ★4.83 · 1 bedroom · 3 beds · 1 bath,0,2023-12-18,2024-12-16,14015437,-87.64638,41.83615
3783533,Entire home/apt,Rental unit in Chicago · ★4.87 · 2 bedrooms · 3 beds · 1 bath,126,2023-12-18,2024-12-16,19416379,-87.702972,41.898048
4243905,Entire home/apt,Home in Chicago · ★4.94 · 2 bedrooms · 2 beds · 2 baths,250,2023-12-18,2024-12-16,22022871,-87.69753,41.9254
4257285,Private room,Condo in Chicago · ★4.96 · 2 bedrooms · 1 bed · 1 shared bath,65,2023-12-18,2024-12-16,2915265,-87.66385,41.99632
4335812,Private room,Townhouse in Chicago · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,95,2023-12-18,2024-12-16,4010906,-87.61291,41.81793
4365466,Shared room,Rental unit in Chicago · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,28,2023-12-18,2024-12-16,2907254,-87.68788,42.01653
4370895,Entire home/apt,Rental unit in Chicago · ★4.60 · 2 bedrooms · 3 beds · 1 bath,225,2023-12-18,2024-12-16,10691960,-87.62747,41.90487
4394093,Private room,Home in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 private bath,100,2023-12-18,2024-12-16,22810362,-87.66999,41.95518
